age,education_num,hours_per_week,occupation,annual_income
75,12,31.7,management,157851.93
67,8,61.6,sales,139320.48
20,13,44.7,service,124565.35
31,15,47.1,sales,161009.9
65,16,23.9,management,185303.3
21,10,31.8,management,100305.07
67,15,52.4,service,196096.46
34,15,42.9,sales,175800.82
71,16,20.9,sales,178356.51
35,11,50.4,professional,123209.9
43,15,34.6,professional,156799.8
56,13,54.1,service,174095.21
25,8,39.1,management,101221.35
50,10,42.0,sales,127017.82
47,14,51.8,professional,165465.75
63,9,31.0,service,118217.94
75,11,30.1,service,152467.39
56,14,38.0,sales,161493.76
41,9,48.3,professional,115920.64
41,12,26.7,professional,133291.83
42,9,23.3,professional,103365.53
65,12,48.2,professional,156457.71
36,10,34.0,service,113725.22
27,16,36.1,management,167250.77
37,8,21.4,management,103818.89
19,16,33.2,sales,158709.48
24,15,39.9,professional,157375.94
23,15,49.3,technical,155314.04
62,15,32.3,service,169953.56
59,9,56.6,service,139028.16
58,16,33.2,sales,183286.21
44,13,33.2,sales,134488.58
59,16,55.4,sales,192961.22
27,15,42.1,management,154920.22
70,13,34.5,sales,159338.56
47,11,38.4,technical,141320.92
72,9,53.5,professional,145322.54
26,8,54.7,management,112618.89
46,11,31.8,sales,129062.77
58,15,39.6,professional,176291.65
46,12,40.9,service,134562.5
43,12,30.1,technical,132707.74
27,10,39.4,technical,110451.44
40,13,40.1,professional,135835.7
31,13,51.4,technical,141156.89
35,16,52.1,management,174377.71
57,14,36.7,professional,166620.83
54,13,37.9,professional,156314.7
53,16,46.6,technical,182313.25
38,11,34.1,service,126071.99
73,16,45.9,professional,198492.22
23,11,39.1,management,96606.86
37,9,30.3,service,101779.43
24,11,30.4,service,118193.7
37,9,54.5,technical,107288.77
73,9,38.4,sales,135333.86
39,15,56.4,management,182022.16
70,15,34.9,professional,176627.03
46,9,42.9,service,118177.28
58,15,63.9,professional,180679.63
44,8,29.4,management,112990.52
33,10,21.0,technical,103893.22
62,14,52.9,sales,176623.18
74,10,31.7,professional,147828.36
33,14,39.8,sales,153129.58
63,15,34.1,service,170581.88
33,8,42.7,management,97796.73
59,8,30.5,sales,116718.25
63,16,38.2,professional,184391.75
44,12,44.5,management,127466.42
60,12,29.9,management,144062.76
33,12,33.0,sales,117582.67
22,11,36.5,sales,123638.1
23,14,25.7,sales,135234.49
43,13,35.8,service,138584.94
70,9,41.2,sales,129473.95
25,13,36.0,sales,119714.06
44,14,37.3,technical,148004.79
58,9,39.8,service,131458.32
29,11,33.4,technical,130842.89
59,15,46.9,professional,185218.44
35,13,54.4,service,148492.27
64,9,35.4,service,123799.85
51,8,44.9,sales,109580.51
49,13,37.6,management,163063.25
28,12,43.7,sales,128337.83
44,16,55.7,technical,198501.59
67,12,45.1,service,166710.02
19,16,22.3,management,137569.25
61,9,44.5,professional,125229.97
46,12,52.3,sales,142586.48
59,9,37.8,technical,123923.9
56,13,50.0,sales,160976.62
43,9,33.1,technical,130141.6
35,12,25.1,service,117282.07
54,11,41.4,professional,139707.61
26,9,22.4,management,96908.36
51,8,37.6,technical,111800.18
23,12,52.9,sales,131848.33
55,16,20.9,technical,166543.25
54,9,27.2,technical,115816.61
22,11,29.7,sales,112690.79
61,10,39.4,management,136254.01
42,15,36.3,technical,166490.88
63,11,54.0,sales,160620.07
20,16,49.5,management,170677.41
28,10,45.0,sales,114560.28
46,8,41.5,management,102813.68
28,13,43.9,professional,134555.4
37,13,31.4,professional,136424.16
56,16,48.6,sales,190893.11
26,15,28.9,sales,144370.61
57,15,48.4,technical,173808.32
23,13,51.9,professional,131593.16
28,11,42.1,service,109669.97
52,11,38.2,technical,133546.52
64,9,44.0,service,121810.56
27,11,15.0,professional,98289.46
35,11,43.0,service,123244.93
71,8,38.9,professional,117822.23
75,9,39.5,sales,139051.62
51,12,47.1,service,152351.9
43,11,39.3,professional,125760.37
38,16,28.6,management,162826.39
53,12,38.6,technical,147770.1
52,16,40.7,service,177468.79
35,13,41.1,management,136737.03
19,8,41.6,professional,99396.94
26,9,50.4,professional,114025.43
73,14,29.1,technical,174880.74
42,12,41.8,technical,144337.56
45,10,52.9,service,117515.16
45,12,22.7,sales,138714.09
63,16,41.8,management,192974.67
21,11,34.1,professional,117693.37
22,8,36.3,management,93306.79
33,10,31.0,service,110214.43
46,16,38.3,management,174816.17
56,14,58.4,service,177557.2
46,15,27.4,technical,158615.29
43,16,28.3,professional,174646.55
72,9,27.0,service,117289.07
27,10,57.3,technical,116653.42
51,8,35.4,sales,123877.62
49,8,39.7,sales,107518.6
45,15,36.0,professional,163129.26
64,16,30.6,sales,179207.11
33,9,37.6,technical,108351.35
73,14,64.6,service,185678.48
37,12,53.9,professional,140304.44
49,8,31.5,sales,112555.62
48,16,46.5,service,177957.9
67,15,31.7,management,182848.61
43,13,22.2,service,142367.14
34,14,50.2,professional,162108.38
19,11,51.6,professional,120236.9
39,15,50.5,sales,189517.49
65,12,35.3,sales,157724.73
18,16,38.3,technical,159132.65
69,8,47.5,professional,124159.34
49,9,43.9,professional,120184.03
26,16,36.1,professional,170644.33
35,10,23.8,technical,118479.94
50,10,41.1,technical,137008.31
36,15,50.8,sales,171634.32
24,9,28.0,service,86413.16
56,12,46.4,technical,153834.25
56,10,43.3,technical,124727.22
24,9,47.5,service,95618.94
34,16,48.7,sales,175488.6
32,9,33.1,technical,106342.92
56,8,23.8,professional,113607.82
60,14,34.7,professional,168140.89
60,15,48.9,service,185741.52
72,9,34.6,management,125380.42
62,14,33.1,sales,164744.27
36,12,21.8,technical,113340.83
24,15,57.5,management,148813.68
53,9,48.3,technical,130817.29
71,16,47.7,sales,194377.33
74,13,49.7,technical,179486.4
31,15,45.8,service,167472.17
31,11,37.6,management,115973.5
20,16,38.4,service,162274.53
26,13,35.7,management,128243.55
50,9,66.3,professional,121854.54
49,16,45.6,technical,183497.23
39,15,35.4,technical,157084.43
35,10,44.7,management,115972.51
66,12,29.9,professional,161434.47
44,11,55.0,management,128799.59
64,12,33.4,professional,151607.3
73,16,45.0,technical,192727.93
36,16,50.7,management,182304.78
29,9,43.8,service,108717.71
73,16,40.9,technical,199423.53
54,11,40.1,technical,131360.5
34,14,39.4,professional,144357.11
54,14,34.2,service,166499.15
47,12,35.5,sales,149892.55
70,12,54.8,management,168214.27
32,12,38.9,professional,123924.33
75,15,32.1,service,185777.24
72,11,34.8,service,162981.8
28,10,51.0,sales,118090.65
27,11,46.8,service,131760.67
48,9,45.6,service,116231.35
20,11,37.4,professional,111952.95
35,9,45.7,professional,116042.35
43,8,33.6,technical,106572.19
74,14,37.4,technical,171234.46
75,8,49.7,management,130001.2
26,13,48.7,service,146125.04
69,15,30.2,management,186040.59
23,14,31.4,technical,147067.4
61,12,41.1,sales,162977.93
67,9,57.3,service,141630.44
69,16,20.8,service,181079.8
30,15,42.8,service,166708.29
69,13,26.2,professional,162059.38
24,8,33.7,technical,84354.36
48,8,36.4,sales,102306.15
45,10,35.8,sales,124157.61
36,9,34.7,professional,105473.52
19,15,40.1,management,148563.86
62,9,34.6,sales,131789.24
37,10,25.4,professional,114563.09
56,16,47.8,service,197471.67
41,15,47.5,professional,155681.83
39,9,48.4,technical,117946.23
69,11,24.6,service,143984.31
23,12,43.0,sales,115775.76
60,13,46.8,service,158153.73
61,16,29.7,service,176903.44
40,15,40.1,service,163587.51
33,16,38.8,sales,178379.79
18,8,58.4,technical,113307.8
72,10,59.2,professional,147464.72
72,13,23.4,sales,161361.33
31,8,64.9,professional,116477.93
19,11,30.8,sales,110428.7
25,9,49.8,technical,109848.75
21,16,49.7,service,167350.27
66,8,30.0,professional,129122.05
69,9,44.9,technical,142540.69
26,9,38.9,service,95079.25
61,9,45.5,sales,135282.68
28,13,42.3,management,143361.79
39,11,52.0,sales,135570.03
52,16,40.8,technical,189507.16
59,10,38.3,sales,133372.03
68,12,51.0,management,162885.91
20,13,45.8,management,134672.91
29,13,47.3,technical,127899.06
34,15,33.4,sales,155018.2
35,9,29.5,service,98769.11
75,12,34.3,professional,149620.14
63,15,33.8,management,185402.62
36,15,47.9,sales,168197.46
74,13,49.8,service,173666.68
46,13,38.4,professional,144368.23
47,15,54.3,service,178091.17
43,13,53.7,sales,160763.58
26,16,42.4,professional,159501.62
72,9,31.8,professional,130209.89
18,11,55.8,professional,126549.88
28,9,39.4,professional,91042.08
31,8,41.3,service,99448.85
34,12,36.6,professional,127096.3
25,10,31.1,service,103509.12
19,11,25.3,professional,101604.77
57,11,46.3,professional,143918.21
74,13,32.2,technical,176687.54
25,16,70.6,technical,177560.13
35,15,29.1,sales,155818.73
47,11,27.4,professional,138593.12
71,10,45.1,service,140703.52
58,14,55.3,management,186650.47
62,9,40.6,sales,128151.53
51,12,45.7,sales,158384.18
42,11,21.6,service,123779.67
29,9,33.2,management,102931.57
68,13,29.3,management,157961.18
64,10,21.0,professional,122093.84
19,9,41.2,management,98797.72
59,13,17.6,sales,151489.97
22,9,26.8,technical,92404.38
60,14,34.6,professional,162831.25
65,9,31.7,sales,123659.52
25,11,44.0,professional,125774.22
43,15,43.1,management,175140.26
25,10,48.9,service,109852.28
50,14,47.5,professional,160636.15
71,14,51.4,sales,184284.16
22,16,40.0,service,170656.61
41,9,43.0,technical,122179.69
74,14,45.1,management,172320.15
35,16,41.4,sales,168900.83
25,14,36.0,technical,135110.37
46,9,36.7,sales,112994.42
47,15,31.8,management,174228.11
56,8,44.2,professional,109701.13
36,13,39.1,service,130852.96
73,12,33.4,service,150021.46
48,12,33.4,professional,139779.69
34,12,27.9,management,129132.23
73,8,49.8,professional,136756.18
71,12,40.8,professional,165728.87
46,16,31.4,service,161332.75
19,11,48.1,technical,125114.07
52,10,34.4,management,123061.77
50,16,25.9,service,177357.17
26,8,50.2,service,92643.6
54,12,34.6,service,142832.7
66,12,35.9,technical,153441.33
24,12,40.4,management,132493.39
59,16,51.4,service,182618.29
26,11,40.2,management,118152.97
61,16,28.0,technical,174389.03
42,8,45.4,sales,113106.19
18,14,35.2,management,140828.32
74,13,58.9,service,187242.86
27,10,40.0,service,107189.01
52,10,17.6,sales,121907.14
28,14,43.6,professional,156255.23
72,13,59.4,management,167106.85
60,13,55.8,technical,171340.47
64,8,58.3,management,138529.71
43,13,29.8,technical,139502.27
45,16,49.1,sales,173985.02
54,8,32.8,service,117387.38
63,12,42.2,service,145491.3
67,12,27.3,technical,146694.0
19,16,33.6,management,154832.89
56,10,33.2,technical,131904.5
24,12,49.0,management,125623.47
34,14,48.0,technical,149598.02
66,8,42.8,professional,125794.6
32,15,26.5,technical,156910.24
64,15,36.9,management,193350.42
44,14,32.5,sales,142741.59
31,13,48.7,sales,145225.61
37,14,51.8,technical,151161.4
48,15,50.6,management,181428.41
62,16,32.4,management,178483.96
53,11,15.0,service,118607.66
72,12,22.3,management,144805.97
68,13,54.2,service,171616.32
61,9,36.0,management,126955.56
52,15,32.5,technical,170811.09
34,14,56.4,sales,158641.0
41,13,52.7,technical,143706.76
24,10,40.2,management,113437.94
39,11,37.1,professional,124984.92
71,11,38.7,sales,156167.59
42,13,42.3,management,142741.76
24,15,56.0,management,150581.49
55,14,44.2,professional,166446.26
73,16,47.3,service,208855.06
68,16,51.7,service,200415.32
33,14,28.3,management,141212.79
44,11,47.5,management,128937.36
48,13,37.1,service,160098.02
32,11,15.0,professional,101600.46
33,13,18.7,service,123372.67
31,15,29.8,professional,155201.59
75,11,45.3,professional,143000.47
61,12,41.1,professional,159565.26
66,8,41.8,professional,128700.41
65,14,59.5,service,187919.05
73,12,27.3,sales,155702.29
24,12,39.7,service,123556.33
69,12,43.0,management,151018.45
21,9,32.6,sales,94101.69
45,13,40.3,sales,142009.43
52,14,24.0,technical,156604.15
38,11,54.1,sales,139241.43
26,9,33.2,management,108412.06
29,11,60.3,service,133532.06
65,9,39.7,management,135692.81
36,11,50.3,technical,128565.73
35,13,39.5,professional,137790.7
71,9,39.7,service,136971.46
26,14,34.2,service,138319.62
71,10,41.2,sales,143877.75
71,16,43.2,sales,189889.45
52,14,32.2,management,152199.86
27,10,38.7,management,114115.28
27,13,33.9,service,138000.61
34,8,63.0,technical,107470.53
51,8,39.1,technical,116994.62
26,16,55.5,professional,168574.2
44,15,38.0,professional,165227.38
24,9,42.6,professional,111797.9
49,10,26.8,service,124054.03
19,9,35.5,service,100375.95
59,11,42.1,service,154507.95
21,10,55.9,technical,110620.67
29,10,42.2,professional,106885.58
28,12,53.8,service,130471.19
66,9,46.4,sales,132431.44
21,15,56.3,technical,143742.14
42,14,39.4,professional,153570.84
52,14,63.9,management,171850.38
47,9,35.1,professional,119686.44
57,14,32.3,service,163819.05
64,15,27.9,technical,169636.2
40,9,63.3,technical,129017.06
66,14,48.2,management,181252.03
36,11,36.7,sales,118009.66
75,15,52.5,management,191560.98
47,12,46.9,professional,130171.97
60,15,59.7,technical,181120.43
68,9,24.5,technical,118622.55
63,11,37.3,management,142765.47
67,10,35.4,management,129984.01
49,10,20.3,service,111880.17
20,10,50.6,sales,103640.01
46,11,37.3,sales,131467.93
28,9,47.4,technical,110796.8
69,14,63.6,technical,189737.98
31,12,36.5,technical,127792.03
31,15,35.8,service,144762.7
32,14,41.2,technical,144866.81
55,9,49.9,service,125644.05
51,8,34.3,technical,107390.8
73,11,33.7,sales,147759.96
42,12,50.6,management,152435.08
34,10,43.8,technical,122934.0
20,15,19.6,technical,131731.14
18,13,27.7,professional,126962.63
39,14,55.0,sales,165562.62
71,8,44.0,sales,124100.31
48,15,32.4,service,170321.57
69,9,38.3,service,130681.98
23,12,40.1,professional,114962.62
23,11,47.4,technical,122748.22
66,15,26.4,technical,175535.82
24,10,31.6,technical,102467.74
21,10,42.7,sales,107730.67
41,11,39.0,management,123119.73
71,11,45.7,technical,156453.95
57,9,27.7,management,117216.96
23,9,43.6,management,103507.81
66,10,50.9,professional,146297.99
66,12,44.9,management,149327.21
64,11,41.4,service,139395.15
70,11,39.0,sales,133750.87
31,14,31.7,professional,146623.0
74,10,39.3,management,135297.5
36,16,52.6,professional,178328.29
64,14,38.8,service,172400.63
51,9,31.1,service,119083.05
63,10,35.1,professional,125339.39
54,9,42.0,management,122842.81
55,10,36.3,sales,139075.36
53,11,44.9,service,150555.09
63,9,45.2,management,137754.92
60,8,48.9,service,126512.25
25,11,54.2,management,118439.26
65,14,50.0,professional,181492.12
49,10,30.7,service,119907.41
36,15,31.0,management,159270.01
47,11,39.2,professional,128012.65
74,16,35.5,management,193532.68
67,10,28.6,professional,133479.02
66,12,35.6,service,153326.02
44,14,35.3,professional,157243.24
63,8,33.3,management,114069.21
40,16,36.8,professional,162870.02
57,11,51.8,management,156585.45
55,12,42.0,service,163730.48
32,13,64.7,technical,155595.85
33,13,41.7,management,132124.51
21,8,37.1,service,85508.01
26,15,40.0,professional,156928.01
43,13,42.6,management,156920.63
45,16,44.4,service,171348.32
27,12,60.8,professional,137468.27
42,13,31.5,sales,142716.96
53,11,48.6,sales,147087.39
31,16,42.1,sales,165947.43
37,15,24.3,management,142490.18
39,16,47.7,professional,180914.83
47,12,52.7,service,155137.62
39,15,31.4,technical,157444.7
60,11,39.9,management,144227.8
36,12,22.7,sales,120580.88
43,14,27.4,technical,143522.9
40,8,50.5,professional,117865.07
28,14,35.3,sales,145397.29
57,8,28.9,technical,114418.12
31,13,42.3,technical,149418.45
35,12,34.8,service,122724.78
63,12,35.3,service,145876.83
73,12,47.4,service,164147.38
56,12,28.4,professional,137096.95
71,11,30.9,technical,149453.75
67,12,41.5,management,154483.86
45,13,49.7,management,147072.96
62,14,52.4,service,176481.26
37,12,33.3,technical,131303.88
44,13,49.4,technical,158723.67
49,15,32.2,service,167938.65
73,16,58.3,professional,209479.81
67,8,28.7,professional,120175.3
46,14,53.3,sales,164127.05
55,10,33.4,professional,122006.76
29,9,60.1,sales,117611.99
64,15,45.9,management,181282.97
50,8,29.8,professional,117824.9
48,15,34.8,technical,174847.89
62,14,47.8,service,177653.81
54,16,50.5,management,191387.79
22,14,39.3,professional,140283.19
34,15,40.4,professional,151244.33
28,9,47.6,professional,106727.5
60,16,41.3,service,188722.2
20,9,27.1,technical,92738.87
29,10,31.9,service,110653.49
52,9,42.4,sales,128043.49
58,11,52.2,management,142429.02
47,14,56.2,management,163191.77
67,10,47.8,technical,152390.84
71,15,42.9,service,191687.49
25,13,47.5,sales,135771.13
73,13,33.3,sales,163428.67
53,16,38.5,technical,180927.8
54,11,31.8,technical,133115.39
23,11,27.5,management,111947.23
54,16,43.3,professional,201450.18
60,13,41.9,management,160946.41
51,13,46.9,professional,160481.64
22,10,45.5,service,99214.38
48,9,42.4,professional,116144.38
72,9,45.6,management,145810.37
59,10,39.6,sales,135453.15
25,9,44.1,sales,75603.34
73,14,32.7,service,177331.22
73,8,43.7,management,143030.59
27,13,46.7,professional,126295.57
64,16,33.3,service,196330.98
41,14,40.5,service,136811.22
52,11,33.8,technical,138710.05
43,8,34.7,technical,104577.14
63,15,28.8,technical,158034.09
75,8,52.7,sales,139790.8
64,14,50.7,technical,183985.59
72,14,45.4,sales,181565.01
72,9,59.7,technical,149410.14
23,14,38.1,professional,138227.11
32,9,70.3,sales,111337.34
59,10,37.7,service,136318.56
52,15,42.6,professional,184572.98
20,16,36.0,management,164492.7
23,10,43.7,technical,96999.46
48,16,48.4,sales,173687.28
53,16,38.9,technical,176312.88
27,14,57.8,professional,144161.48
27,9,42.4,technical,104864.24
25,10,42.7,service,113317.73
50,14,30.9,service,146547.73
18,16,44.2,service,165291.29
51,15,38.7,professional,174266.04
45,11,33.9,technical,124234.52
45,10,32.2,technical,117880.86
57,16,66.7,service,187259.2
48,10,37.4,technical,121764.03
60,11,25.4,technical,133677.46
62,16,33.0,service,185994.85
71,13,39.5,sales,168571.74
64,10,45.5,technical,141167.1
48,8,45.5,management,112362.29
46,11,46.8,sales,137424.52
31,16,33.6,technical,170004.68
52,11,43.4,technical,137294.56
26,14,31.2,professional,141289.9
72,10,33.8,management,137554.71
67,14,30.8,professional,163492.53
24,14,28.1,technical,139506.44
63,13,50.6,sales,163036.85
24,14,46.9,management,148941.18
59,13,49.8,management,163547.99
23,11,40.4,professional,113983.52
46,14,47.8,professional,160183.37
56,15,22.4,management,161606.14
60,15,48.6,sales,171445.29
42,9,41.8,sales,117224.66
71,14,46.3,management,180498.02
62,8,43.8,professional,128442.13
30,13,30.1,service,128809.39
56,13,25.0,technical,159973.44
60,11,32.9,technical,135258.29
37,16,45.6,sales,168657.04
60,15,46.9,management,174732.57
70,8,26.3,technical,107634.96
65,9,30.2,technical,134427.72
62,9,32.8,professional,132695.82
54,16,36.4,sales,185077.87
33,12,26.4,management,117738.66
64,14,25.8,technical,174595.82
39,15,31.8,service,155889.75
48,14,40.9,management,158169.59
36,8,28.2,service,105478.06
36,9,38.8,sales,113207.68
27,11,50.6,sales,138672.08
73,11,27.0,professional,145199.78
26,14,37.9,technical,140327.71
23,9,50.2,sales,102121.11
72,11,35.8,technical,135736.92
50,10,34.3,management,121806.8
43,9,51.6,sales,128300.77
60,9,36.9,professional,128569.99
40,9,51.0,technical,118568.41
25,13,44.3,sales,130084.9
60,11,36.6,service,141231.9
28,11,44.8,management,128464.46
50,12,43.2,service,147516.67
73,14,50.2,management,183642.49
72,15,34.5,professional,177599.89
38,12,40.4,professional,140417.83
63,13,39.4,management,140096.95
53,14,47.0,sales,169305.17
45,14,29.7,professional,168412.47
26,9,50.2,sales,98350.63
39,16,44.7,service,173634.11
55,9,26.8,management,115567.17
75,11,52.1,service,155781.53
18,13,62.3,professional,148316.61
59,11,50.0,professional,149523.89
67,10,54.3,sales,147511.23
73,16,40.9,service,202090.02
42,8,23.4,service,97799.74
24,10,21.6,management,119099.32
33,16,42.6,sales,170824.91
67,14,34.1,professional,170757.31
68,8,30.9,professional,108880.93
54,14,39.4,technical,159766.33
25,16,46.2,management,173681.88
25,8,25.5,sales,78258.51
45,11,35.5,sales,114649.92
52,12,55.1,professional,152868.86
19,9,29.2,service,100657.44
57,9,48.7,sales,129320.85
49,9,35.2,service,113810.85
18,9,45.5,professional,87883.38
23,11,51.0,technical,124717.83
44,12,47.4,service,147129.86
59,10,49.1,professional,126491.98
65,10,28.5,technical,138313.56
43,9,51.1,technical,125563.83
35,15,31.5,sales,162566.26
74,9,42.6,management,141382.08
44,16,42.6,sales,181807.5
36,12,44.9,service,139207.38
43,15,43.4,professional,172994.35
18,13,31.6,management,112829.79
35,10,26.5,sales,99091.7
47,13,48.7,technical,149606.53
71,10,41.9,professional,141651.12
60,9,51.5,sales,135206.15
63,10,39.6,management,137737.26
49,10,25.9,service,125605.64
24,9,49.7,technical,113940.62
40,8,36.3,service,97721.6
75,16,43.4,sales,201269.97
20,12,33.5,management,112882.59
68,11,56.4,sales,155062.93
57,16,31.2,technical,182508.74
34,10,36.6,management,91560.37
63,11,41.1,professional,160006.93
66,15,29.1,technical,179270.67
20,13,43.3,sales,128638.45
24,11,56.1,management,137836.28
56,10,35.1,management,126017.02
75,8,44.0,sales,132963.8
19,8,15.0,sales,73812.89
56,9,39.6,technical,134085.52
25,15,36.9,technical,150491.88
55,13,31.8,sales,151662.58
54,11,50.8,sales,151215.43
23,15,36.7,technical,153505.08
57,9,38.2,service,122932.29
70,9,36.2,professional,138504.66
68,11,20.8,service,153200.53
19,16,28.7,service,154475.45
32,13,49.6,professional,145137.62
31,15,18.9,technical,146600.36
44,10,32.3,professional,126875.92
26,15,36.0,sales,147502.77
67,8,57.4,sales,132110.0
63,10,47.7,service,130106.8
64,12,34.4,technical,141994.94
29,8,53.0,professional,101538.27
18,15,32.6,professional,143559.59
70,15,50.1,service,201445.11
34,12,26.4,technical,127764.65
56,10,50.7,technical,130947.27
70,8,35.9,service,119463.53
20,13,29.7,service,133971.76
18,12,37.8,service,126683.2
18,14,42.8,technical,140152.23
27,13,35.1,management,129995.13
20,9,45.5,sales,108720.49
65,9,34.2,management,120198.59
53,15,46.2,sales,178456.26
74,9,44.4,professional,153366.19
64,16,39.4,professional,191137.94
73,8,35.6,technical,121060.08
31,14,41.5,service,151044.73
34,16,45.5,sales,169109.55
67,11,60.6,technical,148821.01
32,8,49.4,management,109552.69
21,15,49.8,service,162729.88
56,9,70.9,management,138527.61
64,12,45.2,professional,153140.26
74,16,44.8,management,193553.57
71,14,47.0,sales,178441.36
24,8,29.9,service,85024.43
62,15,35.6,service,169782.84
67,9,34.9,sales,140776.85
58,14,46.5,technical,173037.94
65,13,38.3,professional,164955.28
66,10,41.4,management,144475.19
43,11,50.9,management,140735.61
20,9,48.6,management,100423.8
44,16,38.4,sales,177020.33
29,10,33.3,sales,106639.19
24,10,51.4,technical,117666.89
25,12,47.7,management,131931.91
58,14,23.9,professional,155122.16
47,12,36.9,technical,130491.73
49,12,41.7,management,144115.4
61,13,47.8,sales,162348.48
49,15,49.1,management,162414.15
54,11,42.8,sales,142304.16
22,15,45.9,technical,160289.6
67,15,40.6,professional,199083.08
44,16,33.3,professional,169889.24
27,16,37.4,sales,159299.63
65,15,40.2,service,173789.23
60,10,39.7,technical,134938.3
21,14,21.1,management,131488.28
29,14,36.0,sales,138684.28
18,10,40.6,service,103544.95
33,14,37.2,management,134535.0
23,10,37.5,technical,112536.78
59,12,44.9,professional,146929.06
48,15,29.2,sales,162836.48
74,9,23.7,technical,117933.94
