actual,gbr_forecast,seasonal_naive
2993.13700150725,2941.6418865011497,2907.2312309786926
3069.3395954418156,2982.550086716113,2990.4134045300616
2920.5683010966377,2978.024026102229,2929.5024024157765
2865.218720233017,2979.7679091546574,2948.6537500808477
2814.7592241242364,2965.3016924196477,2904.9384289876557
2646.4732448646214,2721.5218592718215,2627.4916082585673
2716.378644589856,2739.1219119861175,2631.3797051568718
2855.459193082018,2966.7468698328585,2993.13700150725
2965.574669346967,3024.829812250924,3069.3395954418156
2947.2519511598566,2951.882196662436,2920.5683010966377
2869.9523741221765,2911.94452679323,2865.218720233017
2845.010928252913,2904.376451244525,2814.7592241242364
2736.5434423616325,2723.241728931424,2646.4732448646214
2717.4974362319294,2729.3238980159326,2716.378644589856
2875.2420853906733,2932.2135578418915,2855.459193082018
2918.001787750506,2988.393575577692,2965.574669346967
2936.2820267549837,2978.441777353493,2947.2519511598566
2844.3269735190465,2912.1359127085093,2869.9523741221765
2806.0228059267797,2879.085921116969,2845.010928252913
2611.7628178472173,2727.141602987641,2736.5434423616325
2778.1666813381776,2756.1863607465484,2717.4974362319294
2867.9448419596315,2907.539339212449,2875.2420853906733
2984.9246144744675,2944.3586318722187,2918.001787750506
2844.532972554404,2987.9185433629696,2936.2820267549837
2934.378999050822,2922.5067477508032,2844.3269735190465
2798.893866680128,2904.207146020223,2806.0228059267797
2576.2838307881193,2738.6936855772215,2611.7628178472173
2689.2273713906256,2722.705181629871,2778.1666813381776
2916.7597343365014,2925.936783701363,2867.9448419596315
2881.907600902017,2977.5766172132285,2984.9246144744675
2804.877274318282,2906.912360494611,2844.532972554404
2894.1929270093333,2950.261150747006,2934.378999050822
2731.170196271724,2875.4841560280684,2798.893866680128
2587.48223115511,2732.5851244293326,2576.2838307881193
2665.3186559011274,2724.2861833959873,2689.2273713906256
2773.4471775475827,2923.410977141363,2916.7597343365014
2812.048890788161,2963.3008741187855,2881.907600902017
2891.2645290852747,2909.7433426847847,2804.877274318282
2860.3078938671215,2951.7229568958787,2894.1929270093333
2645.5141065769526,2821.878848789121,2731.170196271724
2627.665555067303,2706.2899101739936,2587.48223115511
2671.0285390825898,2741.5878142470797,2665.3186559011274
2808.1908199554373,2848.1383547261453,2773.4471775475827
2815.951658983506,2913.7897847762565,2812.048890788161
2897.990103157939,2918.2018074137018,2891.2645290852747
2890.7197456103054,2918.1035306426456,2860.3078938671215
2859.6846232886114,2775.3094820530837,2645.5141065769526
2603.1767404569964,2745.208087758255,2627.665555067303
2668.529450606776,2727.82915274467,2671.0285390825898
2825.513925468404,2856.3844364412203,2808.1908199554373
2905.083257721388,2909.715611796839,2815.951658983506
2882.044864816832,2931.7026311470922,2897.990103157939
2925.290842719619,2951.572562455543,2890.7197456103054
2723.4080934770873,2793.890647595217,2859.6846232886114
2559.5196396903652,2716.785951498598,2603.1767404569964
2624.8211443313326,2719.328839545748,2668.529450606776
2864.371500811818,2868.235448252841,2825.513925468404
2931.985074086723,2924.156323343473,2905.083257721388
2829.976470812473,2945.3623360214633,2882.044864816832
2847.043149032058,2949.284194878401,2925.290842719619
3108.6903030930334,2791.451300409562,2723.4080934770873
2566.2451906340452,2697.732739262076,2559.5196396903652
2687.9246440771603,2731.4679959329314,2624.8211443313326
2726.674384055036,2922.84768058119,2864.371500811818
2827.1003194918103,2957.0266050009145,2931.985074086723
2815.691500955978,2920.2459689798397,2829.976470812473
2762.557094458905,2908.3866595873524,2847.043149032058
2702.554381524328,2944.270447386714,3108.6903030930334
2538.0366250682687,2683.847831046179,2566.2451906340452
2638.506235756917,2734.9060166371155,2687.9246440771603
2881.1275202921397,2849.2257848082786,2726.674384055036
2856.886279466137,2912.2697914035352,2827.1003194918103
2808.7039771205195,2912.7006329436276,2815.691500955978
2869.1848766563035,2836.059352767801,2762.557094458905
2798.495791041534,2813.8742079933904,2702.554381524328
2541.261144124249,2668.672589480746,2538.0366250682687
2613.141942137843,2715.8439865782684,2638.506235756917
2863.3471303571996,2903.8059263143437,2881.1275202921397
2865.7248655818134,2902.916612225764,2856.886279466137
2892.6239262975223,2887.143369387827,2808.7039771205195
2880.151535918887,2861.6531461199975,2869.1848766563035
2792.5015149500737,2827.4904811278357,2798.495791041534
2548.874702681042,2652.8047302452396,2541.261144124249
2664.482394398791,2724.129289727099,2613.141942137843
2840.278260895483,2880.492463480731,2863.3471303571996
2833.1681199456543,2904.584192172313,2865.7248655818134
2805.9658233911964,2907.231362794414,2892.6239262975223
2925.109031567209,2902.3083822037,2880.151535918887
2759.2712299118025,2857.470054914487,2792.5015149500737
2564.243891465912,2686.2896618394584,2548.874702681042
2676.150195852524,2702.5744101609575,2664.482394398791
2916.6336804903394,2919.409091995907,2840.278260895483
2802.0275321597155,2919.58231450389,2833.1681199456543
2826.41745272151,2896.7741144192996,2805.9658233911964
2870.832780405602,2932.721643427173,2925.109031567209
2859.5999147092757,2792.4952144727695,2759.2712299118025
2642.4178875252956,2743.241403352618,2564.243891465912
2735.136246881171,2731.194869188668,2676.150195852524
2835.369436418341,2939.9627637176422,2916.6336804903394
2875.761763629024,2920.8536566530615,2802.0275321597155
